2018000000	100000	A	123	0	0
2018000001	100001	B	123	0	0
2018000002	100002	C	123	0	0
2018000003	100003	D	123	0	0
2018000004	100004	E	123	0	0
2018000005	100005	F	123	0	0
2018000006	100006	G	123	0	0
2018000007	100007	H	123	0	0
2018000008	100008	I	123	0	0
2018000009	100009	J	123	0	0
2018000010	100010	K	123	0	0
2018000011	100011	L	123	0	0
2018000012	100012	M	123	0	0
2018000013	100013	N	123	0	0
2018000014	100014	O	123	0	0
2018000015	100015	P	123	0	0
2018000016	100016	Q	123	0	0
2018000017	100017	R	123	0	0
2018000018	100018	S	123	0	0
2018000019	100019	T	123	0	0
2018000020	100020	U	123	0	0
2018000021	100021	V	123	0	0
2018000022	100022	W	123	0	0
2018000023	100023	X	123	0	0
2018000024	100024	Y	123	0	0
2018000025	100025	Z	123	0	0
